raks | REAL ✅ | 0.0 | 2026-04-12 13:44:28.128006
raks | FAKE ❌ | 1.0 | 2026-04-12 13:44:46.014720
raks | FAKE ❌ | 1.0 | 2026-04-12 13:45:00.516229
raks | FAKE ❌ | 1.0 | 2026-04-12 13:45:08.257618
raks | REAL ✅ | 0.0 | 2026-04-12 13:55:24.472074
raks | REAL ✅ | 0.193 | 2026-04-12 13:56:21.471772
raks | REAL | 0.0 | 2026-04-12 14:08:26.371756
raks | FAKE | 1.0 | 2026-04-12 14:08:47.036458
raks | REAL | 0.285 | 2026-04-12 14:16:37.788862
raks | REAL | 0.33 | 2026-04-12 14:17:45.959918
raks | FAKE | 1.0 | 2026-04-12 14:20:01.318776
raks | REAL | 0.141 | 2026-04-12 14:21:47.560453
raks | FAKE | 0.912 | 2026-04-12 14:22:18.902224
raks | REAL | 0.266 | 2026-04-12 14:22:43.443118
raks | FAKE | 1.0 | 2026-04-12 14:27:06.078562
raks | FAKE | 0.957 | 2026-04-12 14:27:24.616960
raks | FAKE | 1.0 | 2026-04-12 14:27:31.713302
raks | FAKE | 1.0 | 2026-04-12 14:27:37.976535
raks | REAL | 0.0 | 2026-04-12 19:21:40.403610
raks | FAKE | 1.0 | 2026-04-12 19:21:54.412982
raks | FAKE | 1.0 | 2026-04-12 19:22:10.729952
raks | REAL | 0.24 | 2026-04-12 19:22:51.863205
raks | REAL | 0.218 | 2026-04-12 19:25:50.419049
raks | FAKE | 0.99 | 2026-04-12 19:27:00.467442
raks | FAKE | 1.0 | 2026-04-12 19:27:46.339488
raks | FAKE | 0.984 | 2026-04-12 19:29:15.992802
raks | REAL | 0.0 | 2026-04-14 11:54:54.784888
raks | REAL | 0.0 | 2026-04-14 11:54:54.808713
raks | FAKE | 0.998 | 2026-04-14 11:55:06.299514
raks | REAL | 0.0 | 2026-04-15 20:46:41.241557
raks | FAKE | 0.991 | 2026-04-15 20:47:09.268152
raks | REAL | 0.206 | 2026-04-15 20:47:37.210097
raks | REAL | 0.0 | 2026-04-20 21:23:32.651942
raks | REAL | 0.21 | 2026-04-20 21:24:20.389227
bhumika | REAL | 0.0 | 2026-04-20 21:43:08.741504
bhumika | REAL | 0.0 | 2026-04-20 22:00:44.320233
bhumika | FAKE | 1.0 | 2026-04-20 22:01:29.029612
bhumika | REAL | 0.212 | 2026-04-20 22:02:02.859596
raks | REAL | 0.0 | 2026-04-20 22:25:10.412958
raks | FAKE | 0.7 | 2026-04-20 22:25:52.300869
raks | REAL | 0.0 | 2026-04-20 22:45:50.208010
raks | FAKE | 1.0 | 2026-04-20 22:46:25.310786
raks | FAKE | 0.986 | 2026-04-20 22:47:06.547188
raks | REAL | 0.214 | 2026-04-20 22:47:24.016675
raks | FAKE | 1.0 | 2026-04-20 23:18:47.022906
raksh | REAL | 0.0 | 2026-04-21 22:37:33.881629
raksh | REAL | 0.0004710194771178067 | 2026-04-21 22:43:19.024228
raksh | REAL | 0.2046593874692917 | 2026-04-21 22:47:40.613755
raksh | FAKE | 0.999542236328125 | 2026-04-21 22:49:13.124182
raksh | REAL | 0.0004710194771178067 | 2026-04-21 22:56:53.628293
raksh | FAKE | 0.9933884143829346 | 2026-04-21 22:58:00.488567
raksh | FAKE | 1.0 | 2026-04-21 22:59:58.204741
raksh | FAKE | 1.0 | 2026-04-21 23:00:56.654524
raksh | FAKE | 1.0 | 2026-04-21 23:02:18.360972
raksh | REAL | 0.21892905235290527 | 2026-04-21 23:33:19.148297
raksh | FAKE | 1.0 | 2026-04-21 23:41:27.707193
raksh | REAL | 0.27493155002593994 | 2026-04-21 23:41:46.135370
raksh | REAL | 0.2503814697265625 | 2026-04-21 23:54:20.901933
raksh | FAKE | 0.9634794592857361 | 2026-04-21 23:54:39.859414
raksh | FAKE | 0.995026171207428 | 2026-04-21 23:55:04.757912
raksh | REAL | 0.19905364513397217 | 2026-04-21 23:55:24.888580
raksh | REAL | 0.2071317434310913 | 2026-04-22 00:04:46.960497
raksh | FAKE | 1.0 | 2026-04-22 00:05:55.241114
raksh | FAKE | 1.0 | 2026-04-22 00:06:57.134243
raksh | REAL | 0.0004710194771178067 | 2026-04-22 18:47:42.524413
raksh | FAKE | 1.0 | 2026-04-22 18:48:19.630046
raksh | FAKE | 0.999542236328125 | 2026-04-22 18:48:28.456835
raksh | REAL | 0.001132046920247376 | 2026-04-22 18:48:46.779499
raksh | REAL | 0.0006490302039310336 | 2026-04-22 19:06:12.557445
raksh | REAL | 0.0006490302039310336 | 2026-04-22 19:10:00.242740
raksh | REAL | 0.012632242403924465 | 2026-04-22 19:10:08.015109
raksh | REAL | 0.0004710194771178067 | 2026-04-22 19:10:35.355824
raksh | REAL | 4.983096368960105e-05 | 2026-04-22 19:10:46.950136
raksh | REAL | 7.084031949489145e-06 | 2026-04-22 19:11:02.581964
raksh | REAL | 0.9873677575960755 | 2026-04-22 19:32:05.529253
raksh | REAL | 0.9988679530797526 | 2026-04-22 19:32:18.039432
raksh | REAL | 0.9999038783280412 | 2026-04-22 19:32:33.511244
raksh | FAKE | 1.0 | 2026-04-22 19:32:48.421658
raksh | FAKE | 0.9973400235176086 | 2026-04-22 19:35:26.868809
raksh | FAKE | 0.6081250309944153 | 2026-04-22 19:37:25.173645
raksh | FAKE | 0.9973400235176086 | 2026-04-22 19:37:48.666371
raksh | REAL | 0.9995289805228822 | 2026-04-22 19:37:56.882483
raksh | FAKE | 1.0 | 2026-04-22 19:38:03.993488
raksh | FAKE | 0.9973400235176086 | 2026-04-22 19:38:23.763981
raksh | FAKE | 0.928091287612915 | 2026-04-22 19:39:00.227301
raksh | REAL | 0.20789122581481934 | 2026-04-22 19:39:21.488370
raksh | REAL | 0.33414894342422485 | 2026-04-22 19:39:58.315197
raksh | FAKE | 0.9883896112442017 | 2026-04-22 19:40:21.731765
raksh | FAKE | 0.9973400235176086 | 2026-04-22 19:49:00.148272
raksh | FAKE | 1.0 | 2026-04-22 19:49:12.484681
raksh | FAKE | 0.9633956551551819 | 2026-04-22 19:49:30.450768
raksh | REAL | 0.20473159849643707 | 2026-04-22 19:50:06.165131
raksh | FAKE | 1.0 | 2026-04-22 20:26:35.246796
raks | REAL | 0.9995289805228822 | 2026-04-22 21:16:36.399152
raks | REAL | 0.9995289805228822 | 2026-04-22 21:51:50.959051
raks | REAL | 0.9995289805228822 | 2026-04-22 21:58:10.183922
raks | FAKE | 1.0 | 2026-04-22 22:04:50.569229
raks | FAKE | 1.0 | 2026-04-22 22:11:31.850751
raks | FAKE | 0.999875545501709 | 2026-04-22 22:11:49.326777
raks | FAKE | 1.0 | 2026-04-22 22:13:06.608545
raks | FAKE | 0.9973400235176086 | 2026-04-23 19:08:13.406277
raks | FAKE | 0.6081250309944153 | 2026-04-23 19:08:43.708366
raks | FAKE | 0.9940177202224731 | 2026-04-23 19:09:17.686464
raks | REAL | 0.20129305124282837 | 2026-04-23 19:09:44.976208
raks | FAKE | 1.0 | 2026-04-23 19:34:49.826112
raks | FAKE | 1.0 | 2026-04-23 19:35:06.755215
raksh | FAKE | 0.9973400235176086 | 2026-04-23 20:33:09.615668
raksh | FAKE | 0.9926573634147644 | 2026-04-23 20:33:19.967646
raksh | FAKE | 0.9973400235176086 | 2026-04-23 20:40:06.727068
raksh | REAL | 0.9995289805228822 | 2026-04-23 20:40:16.880733
swati | FAKE | 1.0 | 2026-04-23 20:52:50.000056
raksh | REAL | 0.9995289805228822 | 2026-04-23 21:40:15.560686
raksh | REAL | 0.9995289805228822 | 2026-04-23 21:44:05.829359
raksh | REAL | 0.2571962773799896 | 2026-04-23 21:50:48.446423
raksh | FAKE | 0.9860790371894836 | 2026-04-23 21:56:27.558760
raksh | REAL | 0.5903414189815521 | 2026-04-23 21:59:23.784411
raksh | FAKE | 0.9786185026168823 | 2026-04-23 22:01:27.452414
raksh | FAKE | 0.9973400235176086 | 2026-04-23 22:27:19.793052
raksh | REAL | 0.5903414189815521 | 2026-04-23 22:29:26.958123
raksh | REAL | 0.5903414189815521 | 2026-04-23 22:46:45.943248
raksh | FAKE | 0.6511524319648743 | 2026-04-23 22:47:22.432975
raksh | REAL | 0.5903414189815521 | 2026-04-24 13:09:25.362017
raksh | FAKE | 0.9813010692596436 | 2026-04-24 13:09:50.593373
raksh | REAL | 0.5903414189815521 | 2026-04-24 14:48:13.936099
raksh | REAL | 0.20249296724796295 | 2026-04-24 14:49:13.093013
raksh | FAKE | 1.0 | 2026-04-24 14:51:06.855935
raksh | FAKE | 0.9999648332595825 | 2026-04-24 14:52:14.456589
raksh | REAL | 0.5903414189815521 | 2026-04-24 15:46:58.790159
raksh | REAL | 0.20613908767700195 | 2026-04-24 15:50:53.637523
raksh | FAKE | 0.9860790371894836 | 2026-04-24 15:58:41.412270
raksh | REAL | 0.2292890101671219 | 2026-04-24 15:59:25.398970
raksh | REAL | 0.3238759934902191 | 2026-04-26 11:39:45.580972
raksh | REAL | 0.30625593662261963 | 2026-04-26 11:40:43.502019
raksh | REAL | 0.34822651743888855 | 2026-04-26 11:41:11.039961
raksh | FAKE | 0.9842621088027954 | 2026-04-26 11:44:09.992745
raksh | FAKE | 0.9842621088027954 | 2026-04-26 11:45:27.181135
raksh | FAKE | 0.9533473253250122 | 2026-04-26 11:46:24.091826
raksh | REAL | 0.5903414189815521 | 2026-04-26 11:46:54.196701
raksh | FAKE | 0.9973400235176086 | 2026-04-26 11:47:04.658340
raksh | REAL | 0.5903414189815521 | 2026-04-26 11:47:10.420618
raksh | FAKE | 0.9786185026168823 | 2026-04-26 11:47:22.885279
raksh | FAKE | 0.9842621088027954 | 2026-04-26 11:47:48.474450
raksh | FAKE | 0.9533473253250122 | 2026-04-26 11:53:39.469086
raksh | FAKE | 0.999542236328125 | 2026-04-26 11:53:56.313070
raksh | FAKE | 0.9910414814949036 | 2026-04-26 12:18:21.770691
raks | FAKE | 0.9996808865817662 | 2026-04-26 13:45:29.579338
raks | FAKE | 0.7176883147067172 | 2026-04-26 13:46:07.974179
raks | FAKE | 0.9956304988230282 | 2026-04-26 13:46:38.923131
raks | REAL | 0.7895501322205003 | 2026-04-26 20:51:20.396595
raks | FAKE | 0.7828953096129012 | 2026-04-26 22:16:56.804576
raks | REAL | 0.5 | 2026-04-26 22:47:09.782727
raks | FAKE | 0.7860065309018769 | 2026-04-26 22:47:48.040503
raks | REAL | 0.9908759981842996 | 2026-04-26 22:56:51.971829
raks | REAL | 0.9999999445589509 | 2026-04-26 22:57:12.141339
raks | REAL | 0.7283659913400446 | 2026-04-26 22:57:23.271449
raks | REAL | 0.9999953347284045 | 2026-04-26 22:58:34.387601
raks | REAL | 0.5 | 2026-04-27 21:00:34.312234
raks | REAL | 0.9932870112916447 | 2026-04-27 21:04:35.947143
raks | REAL | 0.9969456999734695 | 2026-04-27 21:04:56.968728
raks | REAL | 0.9999244222336812 | 2026-04-27 21:10:32.845048
